player_id,league,appearances,matches_started,minutes_played,goals,assists,expected_goals,expected_assists,rating,total_shots,shots_on_target,yellow_cards,red_cards,tackles,interceptions,saves
804508,Premier League,30,24,1997,12,0,10.3733,1.7730045,6.5733333333333,47,18,5,0,6,1,0
934235,Premier League,27,22,2001,6,3,6.9941,5.76195133,7.2148148148148,63,26,1,0,36,14,0
794839,Premier League,12,2,320,2,0,1.8434,0.2477887,6.5416666666667,15,10,2,0,4,2,0
922573,Premier League,26,10,906,1,3,3.3793,0.99980879,6.6076923076923,25,10,2,0,10,0,0
836705,Premier League,7,4,318,0,1,1.2721,0.10522302,6.5571428571429,7,1,0,0,5,0,0
135666,Premier League,27,18,1721,5,5,4.8222,2.685569,6.8592592592593,44,11,1,0,25,8,0
547410,Premier League,20,13,1078,1,5,1.0108,2.92470393,6.995,20,7,0,0,17,7,0
856714,Premier League,31,30,2675,4,5,2.9698,6.3988764,7.5,40,13,2,0,60,31,0
864921,Premier League,27,17,1540,6,2,3.7507,2.30828419,6.9851851851852,49,16,1,0,17,8,0
966547,Premier League,21,13,962,2,1,1.0238,2.10977761,6.86,20,7,0,0,18,4,0
592010,Premier League,21,10,1007,4,3,2.9983,1.45131127,6.8619047619048,21,8,1,0,26,10,0
1917626,Premier League,4,0,88,1,0,1.1064,0.15122363,6.875,5,1,0,0,2,0,0
966837,Premier League,32,31,2680,5,1,2.7812,2.19521405,7.071875,26,9,4,0,57,35,0
135256,Premier League,6,0,63,0,0,0.0511,0.00172916,6.6,1,1,0,0,0,0,0
869792,Premier League,26,25,2256,3,4,1.9632,1.73982236,7.35,20,5,3,0,33,18,0
941168,Premier League,26,25,2165,1,0,0.8575,0.90799571,6.972,5,1,1,0,30,15,0
1002837,Premier League,21,17,1504,1,2,0.3286,1.34832156,6.9190476190476,2,1,2,0,39,20,0
957602,Premier League,22,18,1455,1,2,2.8955,0.48692635,6.852380952381,28,6,5,0,31,14,0
958959,Premier League,30,28,2457,3,5,4.7029,1.60875528,6.9133333333333,25,7,5,0,66,24,0
1423711,Premier League,15,2,426,0,0,0.1044,0.08800199,6.5692307692308,2,0,3,0,6,3,0
1144630,Premier League,15,6,692,0,0,,0.50227978,6.9230769230769,0,0,2,0,23,8,0
846036,Premier League,8,6,496,0,1,0.4567,0.49787213,6.8375,5,1,0,0,15,6,0
581310,Premier League,32,32,2880,0,0,,0.10386419,6.903125,0,0,1,0,1,1,51
839956,Premier League,30,29,2508,22,7,21.586,2.08808221,7.3166666666667,106,50,1,0,15,5,0
873554,Premier League,17,7,600,1,3,2.1852,0.70657912,6.66,24,7,2,0,12,2,0
859765,Premier League,27,21,1842,7,3,5.4693,4.02488252,7.0074074074074,51,17,4,0,30,8,0
934354,Premier League,30,30,2678,15,4,10.1466,2.3693626,7.06,73,38,7,0,40,9,0
827606,Premier League,19,15,1335,1,0,0.7617,2.30512992,7.4055555555556,11,2,2,0,37,13,0
979128,Premier League,26,15,1392,3,10,2.6746,7.26839691,7.2346153846154,35,9,1,0,24,7,0
934386,Premier League,23,14,1306,2,4,2.018,4.7803174,7.295652173913,24,9,0,0,17,10,0
